file_id	rep	file_name
1H_esx8wuc--fG5PZ4Wupgtkkrdj2oI1oyacPyRUhHR8	Bo	TenFore<>CourseRev info sesh - 2026/08/13 12:59 EDT - Notes by Gemini
1Vc-0jAT5kUof7vcxv7iKKsqEJLQ7IqKnLCXWE4nsU1I	Jason	iqk-gpyj-dqx (2026-08-03 15:26 GMT-4) - Transcript
1dZnTGi1KFwrhg1p_vQOt23GVJTTPittmrcwIXU4c5hM	Jason	rix-khos-rdk (2026-07-27 14:55 GMT-4) - Transcript
1uqIVoYLbhJ0eB7GaWyXk0bTbJ97Eqp7H_Pn6UE7ozDQ	Bo	CourseRev + Dave White Muni - Quick Chat - 2026/06/24 14:01 PDT - Notes by Gemini
1iyWzZrCJeqTM1q5Jx5G76zBqJeKyMx2fW53xbu7AUVc	Jason	Meeting started 2026/08/03 09:59 EDT - Notes by Gemini
