file_id	rep	date	account_name	account_source	content_tier	has_transcript	usable_dialogue	transcript_turns	duration	char_count	cached	doc_url	file_name
1NErdrdlxiNuIqbxxcJayg3hCf6YFacXlwq-sGecFwNo	Bo	2026-08-18	Old Greenwood	title	rich	True	True	322	00:49:40	55382	False	https://docs.google.com/document/d/1NErdrdlxiNuIqbxxcJayg3hCf6YFacXlwq-sGecFwNo/edit	Chat: CourseRev + Old Greenwood  - 2026/08/18 10:00 PDT - Notes by Gemini
1NiQZ4zEoJ6ux2G1uf495S1tDSDbtTb2wz5JuEPzgaHU	Jason	2026-06-30	Tunica National	body	rich	True	True	146	00:27:36	31192	True	https://docs.google.com/document/d/1NiQZ4zEoJ6ux2G1uf495S1tDSDbtTb2wz5JuEPzgaHU/edit	Meeting started 2026/06/30 13:59 EDT - Notes by Gemini
1dZqrIT7F3_iJhg3MxkWGjPi_VrhI_kTbfSGRpZSRVRY	Bo	2026-09-01	Cedaredge Golf Course	title	stub	False	False	1	00:18:15	1785	True	https://docs.google.com/document/d/1dZqrIT7F3_iJhg3MxkWGjPi_VrhI_kTbfSGRpZSRVRY/edit	Chat: CourseRev + Cedaredge Golf Course - 2026/09/01 10:00 PDT - Notes by Gemini
1WIePxzLZ5J1JlsTVZpr3BErhHxtuR4N22TOB6BKpFTQ	Jason	2026-08-10		unresolved	moderate	False	False	0		10276	True	https://docs.google.com/document/d/1WIePxzLZ5J1JlsTVZpr3BErhHxtuR4N22TOB6BKpFTQ/edit	Meeting started 2026/08/10 15:10 EDT - Notes by Gemini
