file_id	rep	date	account_name	account_source	content_tier	has_transcript	usable_dialogue	transcript_turns	duration	char_count	cached	doc_url	file_name
1TkBlhJYHKPHgpX7Q6FpLHzeWiiLyPRtnbW6wk4DFUP4	Bo	2026-05-20	Presidio Golf Course	title	rich	True	True	439	00:50:18	58571	False	https://docs.google.com/document/d/1TkBlhJYHKPHgpX7Q6FpLHzeWiiLyPRtnbW6wk4DFUP4/edit	CourseRev + Presidio - Quick Chat - 2026/05/20 09:31 PDT - Notes by Gemini
1cXcSfltz6gT_UWO2kS9tOreSJ53PG1aboPost3IWfLc	Jason	2026-06-22	New Albany Links GC	title	rich	True	True	264	00:30:29	37457	True	https://docs.google.com/document/d/1cXcSfltz6gT_UWO2kS9tOreSJ53PG1aboPost3IWfLc/edit	New Albany Links GC & Courserev Exploratory Discussion - 2026/06/22 10:00 EDT - Notes by Gemini
1d7lBHa27LrOJHMJXBIk_DFsWFN03hGypvvVtnNuXdBk	Jason	2026-07-13	Dacotah Ridge	title	stub	False	False	0	00:01:27	1793	True	https://docs.google.com/document/d/1d7lBHa27LrOJHMJXBIk_DFsWFN03hGypvvVtnNuXdBk/edit	Dacotah Ridge & Courserev Discussion - 2026/07/13 10:59 EDT - Notes by Gemini
1MqvAFKoXlxtAsBUXstJ-Gxh2-A0wjnz9NbNI-H1qs_4	Jason	2026-07-17	Bristol Ridge	cross_doc_inference	moderate	False	False	0		7129	True	https://docs.google.com/document/d/1MqvAFKoXlxtAsBUXstJ-Gxh2-A0wjnz9NbNI-H1qs_4/edit	Meeting started 2026/07/17 13:00 EDT - Notes by Gemini
