file_id	rep	date	account_name	account_source	content_tier	has_transcript	usable_dialogue	transcript_turns	duration	char_count	cached	doc_url	file_name
17Kdv4-QBw51qfiyqRJUH5QDaCDZzvCG4NvbLIOWALq0	Jason	2026-06-11	Scott Lake	title	rich	True	True	557	00:40:57	54924	False	https://docs.google.com/document/d/17Kdv4-QBw51qfiyqRJUH5QDaCDZzvCG4NvbLIOWALq0/edit	Scott Lake Meeting - Notes by Gemini
1BPJko8wI1WqBvBHy9SAXMRRCM-VGk8f7_D0MPgntmpc	Bo	2026-08-12	Laughlin Ranch	title	rich	True	True	291	00:20:42	32655	True	https://docs.google.com/document/d/1BPJko8wI1WqBvBHy9SAXMRRCM-VGk8f7_D0MPgntmpc/edit	CourseRev + Laughlin Ranch - Chat - 2026/08/12 11:00 PDT - Notes by Gemini
1uqIVoYLbhJ0eB7GaWyXk0bTbJ97Eqp7H_Pn6UE7ozDQ	Bo	2026-06-24	Dave White Muni	title	stub	False	False	0	00:07:10	1742	True	https://docs.google.com/document/d/1uqIVoYLbhJ0eB7GaWyXk0bTbJ97Eqp7H_Pn6UE7ozDQ/edit	CourseRev + Dave White Muni - Quick Chat - 2026/06/24 14:01 PDT - Notes by Gemini
1l0Iq_O1cJQ2mhj3ukRfmIXwgtYHeUpuhGhUZVZTxOMI	Jason	2026-08-06	Stonebridge Meadows	title	moderate	False	False	0		7579	True	https://docs.google.com/document/d/1l0Iq_O1cJQ2mhj3ukRfmIXwgtYHeUpuhGhUZVZTxOMI/edit	Stonebridge Meadows Meeting Notes
