file_id	rep	date	account_name	account_source	content_tier	has_transcript	usable_dialogue	transcript_turns	duration	char_count	cached	doc_url	file_name
1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE	Bo	2026-08-19	The Links at Bodega Harbour	title	rich	True	True	537	00:51:33	69604	True	https://docs.google.com/document/d/1PLBFE2QjJLNFd_oBuEYgJnDGC57nEuNgcn-l1ZJKnnE/edit	Chat: CourseRev + The Links at Bodega Harbour - 2026/08/19 14:29 PDT - Notes by Gemini
1XJPIqjinc22NKTuQ5M32NepFwaC7KN3blQFAJbWR-VU	Bo	2026-08-31	Ocean Course Hokuala	title	rich	True	True	436	00:56:27	71643	False	https://docs.google.com/document/d/1XJPIqjinc22NKTuQ5M32NepFwaC7KN3blQFAJbWR-VU/edit	CourseRev + Ocean Course Hokuala - 2026/08/31 11:30 PDT - Notes by Gemini
1jPjVlJ67PtF60dh-W4U4BNb4gRakrFEXmUbGG9ZhFvI	Bo	2026-05-18	Temecula Creek Inn	title	rich	True	True	151	00:11:01	19464	True	https://docs.google.com/document/d/1jPjVlJ67PtF60dh-W4U4BNb4gRakrFEXmUbGG9ZhFvI/edit	CourseRev + Temecula Creek Inn - Quick Chat - 2026/05/18 12:44 PDT - Notes by Gemini
1eNhbK28h7Y6Vnx4CxhWYoMhK4yCkVBnmPImPwyuebnk	Bo	2026-08-18	The Links at Bodega Harbour	title	moderate	True	False	6	00:10:09	7073	False	https://docs.google.com/document/d/1eNhbK28h7Y6Vnx4CxhWYoMhK4yCkVBnmPImPwyuebnk/edit	Chat: CourseRev + The Links at Bodega Harbour - 2026/08/18 14:30 PDT - Notes by Gemini
1k5E3asb_5nIleTerjKr8eISR9Fv3LPa9tZ6pDeSa78Q	Jason	2026-08-13		unresolved	moderate	False	False	0		10377	True	https://docs.google.com/document/d/1k5E3asb_5nIleTerjKr8eISR9Fv3LPa9tZ6pDeSa78Q/edit	Meeting started 2026/08/13 10:30 EDT - Notes by Gemini
1_0dAza6evR4hNMBY547jvGTEJl-Ti0lyJQsw_Zcm76Q	Jason	2026-07-08		unresolved	thin	False	False	0		4548	True	https://docs.google.com/document/d/1_0dAza6evR4hNMBY547jvGTEJl-Ti0lyJQsw_Zcm76Q/edit	Meeting started 2026/07/08 13:00 EDT - Notes by Gemini
