file_id	rep	date	account_name	account_source	content_tier	has_transcript	usable_dialogue	transcript_turns	duration	char_count	cached	doc_url	file_name
165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ	Bo	2026-08-06	Emerald Isle	title	rich	True	True	398	00:45:48	63235	True	https://docs.google.com/document/d/165LcdZ0cGrdoja5L8k4D0g5ELikz9MTjesArdaKJ8YQ/edit	Emerald Isle & CourseRev - Quick Chat - 2026/08/06 12:29 PDT - Notes by Gemini
1GpHTKRqngp4SuaiKw6ijK1cbmt02nEgCT2GgVF5qBfg	Jason	2026-07-06	Lida Greens Golf Course	title	rich	True	True	323	00:28:23	43123	True	https://docs.google.com/document/d/1GpHTKRqngp4SuaiKw6ijK1cbmt02nEgCT2GgVF5qBfg/edit	Lida Greens onboarding w/ Courserev - 2026/07/06 11:56 EDT - Notes by Gemini
1ZD0UZC6gMh9RwTcEcfpek2XRF2zwXBLT1RH0koUZSMQ	Jason	2026-07-20	Dacotah Ridge	title	stub	False	False	0	00:00:42	1985	True	https://docs.google.com/document/d/1ZD0UZC6gMh9RwTcEcfpek2XRF2zwXBLT1RH0koUZSMQ/edit	Dacotah Ridge & Courserev Discussion - 2026/07/20 11:01 EDT - Notes by Gemini
1Xp_cxjF_LEgL00_troe40SERwVpEhRXDgLAkfwmnkTE	Jason	2026-08-11		unresolved	moderate	False	False	0		6914	True	https://docs.google.com/document/d/1Xp_cxjF_LEgL00_troe40SERwVpEhRXDgLAkfwmnkTE/edit	Meeting started 2026/08/11 09:31 EDT - Notes by Gemini
