file_id	rep	date	account_name	account_source	content_tier	has_transcript	usable_dialogue	transcript_turns	duration	char_count	cached	doc_url	file_name
1_cUB0ZFNgd6TpD_bnKTo8ta7v2uNeyG7EdgdlLB0bOQ	Bo	2026-06-11	Indian Canyons	title	rich	True	True	349	00:34:25	51471	False	https://docs.google.com/document/d/1_cUB0ZFNgd6TpD_bnKTo8ta7v2uNeyG7EdgdlLB0bOQ/edit	CourseRev + Indian Canyons - Quick Chat - 2026/06/11 14:23 PDT - Notes by Gemini
17RObnNsUkUX3XVM0DCJWXCTLvCbIg1SFPTUfD96reZU	Jason	2026-06-19	Bristol Ridge	title	rich	True	True	174	00:22:21	29418	True	https://docs.google.com/document/d/17RObnNsUkUX3XVM0DCJWXCTLvCbIg1SFPTUfD96reZU/edit	Bristol Ridge & Courserev exploratory discussion - 2026/06/19 12:30 EDT - Notes by Gemini
1xhOBR9R92eEy7LXwUxShOj7Euz7bSpqCyhQUEUSw5IE	Bo	2026-06-11	Indian Canyons	title	thin	False	False	1	00:15:31	2616	True	https://docs.google.com/document/d/1xhOBR9R92eEy7LXwUxShOj7Euz7bSpqCyhQUEUSw5IE/edit	CourseRev + Indian Canyons - Quick Chat - 2026/06/11 14:00 PDT - Notes by Gemini
19pxZ917FAcSkUJOTQUgg2Hg-FP5_A6lEAALhGFsF0cc	Jason	2026-08-17		unresolved	thin	False	False	0		5959	True	https://docs.google.com/document/d/19pxZ917FAcSkUJOTQUgg2Hg-FP5_A6lEAALhGFsF0cc/edit	Meeting started 2026/08/17 09:59 EDT - Notes by Gemini
