file_id	rep	date	account_name	account_source	content_tier	has_transcript	usable_dialogue	transcript_turns	duration	char_count	cached	doc_url	file_name
1l6SjE9amM3BwVYl5Sd3lBvXvAVi6jP6YMrOploN4iM8	Bo	2026-08-12	Pine Springs	title	rich	True	True	362	00:34:31	48395	True	https://docs.google.com/document/d/1l6SjE9amM3BwVYl5Sd3lBvXvAVi6jP6YMrOploN4iM8/edit	CourseRev + Pine Springs - Chat - 2026/08/12 12:00 PDT - Notes by Gemini
1lh718a6-SEz3M0xIoA3RugMV5XGUbKORbMooYTbsCM0	Bo	2026-08-12	Laughlin Ranch	title	stub	False	False	0	00:26:12	1793	True	https://docs.google.com/document/d/1lh718a6-SEz3M0xIoA3RugMV5XGUbKORbMooYTbsCM0/edit	CourseRev + Laughlin Ranch - Chat - 2026/08/12 09:59 PDT - Notes by Gemini
155XNHSs1CdNjb36xslmbxSDEyO8p3L67SXifzeZ4LWI	Bo	2026-05-21	Presidio Golf Course	title	stub	False	False	0	00:00:44	1865	True	https://docs.google.com/document/d/155XNHSs1CdNjb36xslmbxSDEyO8p3L67SXifzeZ4LWI/edit	CourseRev + Presidio - Touchbase - 2026/05/21 13:31 PDT - Notes by Gemini
12PrhDp57Dar0ivoMFZZF_QF4Q5llTa2hCIAKi9yzZBk	Jason	2026-06-23	Dacotah Ridge GC	title	stub	False	False	1	00:06:20	1760	True	https://docs.google.com/document/d/12PrhDp57Dar0ivoMFZZF_QF4Q5llTa2hCIAKi9yzZBk/edit	Courserev & Dacotah Ridge GC exploratory call - 2026/06/23 10:58 EDT - Notes by Gemini
