file_id	rep	date	account_name	account_source	content_tier	has_transcript	usable_dialogue	transcript_turns	duration	char_count	cached	doc_url	file_name
18Hy9dQodkUWl4qvQUMRiNTr9LmxYX_vGUdLCnSCsNGg	Bo	2026-09-04	Tilden Park Golf Course	title	rich	True	True	355	00:53:31	66296	True	https://docs.google.com/document/d/18Hy9dQodkUWl4qvQUMRiNTr9LmxYX_vGUdLCnSCsNGg/edit	Chat: CourseRev + Tilden Park Golf Course - 2026/09/04 10:00 PDT - Notes by Gemini
17M0p28AyMf3YDcrbnzdM59JXDQK8QwGgr2plcovw9iU	Bo	2026-06-22	Desert Princess CC	title	rich	True	True	289	00:33:59	42526	True	https://docs.google.com/document/d/17M0p28AyMf3YDcrbnzdM59JXDQK8QwGgr2plcovw9iU/edit	CourseRev + Desert Princess CC - Quick Chat - 2026/06/22 12:29 PDT - Notes by Gemini
1IGbv5jcQ6q8_MMNyeZfmtXpsr-dlNGmlU7BSUOvsYDU	Jason	2026-07-02	Deerhurst	title	moderate	False	False	0		6241	False	https://docs.google.com/document/d/1IGbv5jcQ6q8_MMNyeZfmtXpsr-dlNGmlU7BSUOvsYDU/edit	Meeting Notes with Deerhurst
1ORcZPbh7I7PtbkTyF7qzIhNXqt1auvau2fj3jPh8F7I	Bo	2026-09-04	Cedaredge Golf Course	title	stub	False	False	1	00:19:44	1896	True	https://docs.google.com/document/d/1ORcZPbh7I7PtbkTyF7qzIhNXqt1auvau2fj3jPh8F7I/edit	Chat: CourseRev + Cedaredge Golf Course - 2026/09/04 12:01 PDT - Notes by Gemini
